-able	 V. -ble.
crisoprasa	Del fr. chrysoprase. 1. f. Ágata de color verde manzana.
crispación	1. f. Acción y efecto de crispar o crisparse.
crispadura	1. f. crispación.
crispamiento	1. m. crispación.
crispante	De crispar y -nte. 1. adj. Que irrita o exaspera.
crispar	 Del lat. crispāre. 1. tr. Causar contracción repentina y pasajera en el tejido muscular, en cualquier otro tejido de naturaleza contráctil, o en una parte del cuerpo. U. t. c. prnl. Se le crispó la cara. 2. tr. coloq. Irritar o exasperar a alguien. U. t. c. prnl.
crispatura	Del lat. crispātus 'encrespado, erizado'. 1. f. crispación.
crispir	 1. tr. Salpicar de pintura la obra con una brocha dura para imitar el pórfido u otra piedra de grano.
crista	Del lat. crista 'cresta'. 1. f. Heráld. crestón (‖ parte de la celada).
cristal	Del lat. crystallus, y este del gr. κρύσταλλος krýstallos. 1. m. Vidrio, especialmente el de alta calidad. Cristal de La Granja. 2. m. Pieza de vidrio u otra sustancia semejante que cubre un hueco en una ventana, en una vitrina, etc. 3. m. Lente de las gafas. 4. m. Tela de lana muy delgada y con algo de lustre. 5. m. Fís. y Quím. Sólido cuyos átomos y moléculas están regular y repetidamente distribuidos en el espacio. 6. m. Geol. Cuerpo sólido que naturalmente tiene forma poliédrica más o menos regular; p. ej., las sales, las piedras, los metales y otros. cristal de roca 1. m. Cuarzo cristalizado, incoloro y transparente. cristal hilado 1. m. Vidrio fundido y estirado en forma de hilos. cristal líquido 1. m. Líquido birrefringente, que cambia por acción de un campo eléctrico y que se utiliza en las pantallas de ciertos aparatos. cristal tártaro 1. m. Tártaro purificado y cristalizado. culebra de cristal serpiente de cristal
cristalazo	1. m. coloq. Méx. Robo que se comete rompiendo el cristal de un automóvil o de una tienda.
cristalera	 V. cristalero.
cristalero	ra  De cristal y -ero. 1. m. y f. vidriero. 2. f. Armario con cristales. 3. f. aparador (‖ mueble). 4. f. Cierre o puerta de cristales.
cristalería	1. f. Establecimiento donde se fabrican o venden objetos de cristal. 2. f. Conjunto de objetos que se fabrican o venden en una cristalería. 3. f. Parte de la vajilla que consiste en vasos, copas y jarras de cristal.
cristalinidad	1. f. Cualidad de cristalino.
cristalino	na Del lat. crystallĭnus, infl. en su acentuación por los numerosos adjs. en -ino, y este del gr. κρυστάλλινος krystállinos. 1. adj. Hecho de cristal. Objetos cristalinos. 2. adj. Propio o característico del cristal. Destellos cristalinos. 3. adj. Limpio, claro, transparente. U. t. en sent. fig. Mirada cristalina. 4. adj. Fís. y Quím. Que tiene la estructura molecular de los cristales. 5. m. Anat. Cuerpo en forma de lente biconvexa, situado detrás de la pupila del ojo de los vertebrados y de los cefalópodos. estrato cristalino
cristalizable	1. adj. Que se puede cristalizar.
cristalización	1. f. Acción y efecto de cristalizar.
cristalizado	da  Del part. de cristalizar. 1. adj. Dicho de una sustancia: Que tiene la estructura del cristal. 2. adj. Quieto, estático, inmóvil. fruta cristalizada
cristalizar	 1. intr. Dicho de una sustancia: Adquirir la forma y la estructura del cristal. U. t. c. prnl. 2. intr. Dicho de las ideas, los sentimientos o los deseos de una persona o de una colectividad: Tomar forma clara y precisa, perdiendo su indeterminación. 3. tr. Hacer que una sustancia adquiera la forma y la estructura del cristal.
cristalografía	Del gr. κρύσταλλος krýstallos 'cristal' y -grafía. 1. f. Geol. Descripción de las formas que toman los cuerpos al cristalizar.
cristalográfico	ca 1. adj. Geol. Perteneciente o relativo a la cristalografía. sistema cristalográfico
cristaloide	Del gr. κρύσταλλος krýstallos 'cristal' y -oide. 1. m. Quím. Sustancia que, en disolución, atraviesa las láminas porosas que no dan paso a los coloides.
cristalógrafo	fa 1. m. y f. Geol. Especialista en cristalografía.
cristel	De clister. 1. m. enema (‖ líquido que se introduce por el ano).
cristero	ra 1. adj. Dicho de una persona: Que se rebelaba al grito de «¡Viva Cristo rey!» en México, durante el conflicto entre la Iglesia y el Estado, por los años 1926 a 1929. U. t. c. s. 2. adj. Perteneciente o relativo a los cristeros.
cristianar	 De cristiano. 1. tr. bautizar (‖ administrar el bautismo). trapitos de cristianar trapos de cristianar
cristiandad	Del lat. tardío christianĭtas, -ātis. 1. f. Conjunto de los fieles que profesan la religión cristiana. 2. f. Conjunto de países de religión cristiana. 3. f. Observancia de la ley de Cristo. 4. f. Grupo de fieles que cuida cada misionero como párroco en una misión.
cristianego	ga 1. adj. desus. Perteneciente o relativo al cristiano.
cristianería	1. f. p. us. Condición de cristiano. U. t. en sent. irón. 2. f. p. us. Conjunto o barrio de cristianos.
cristianesco	ca 1. adj. Dicho de una cosa morisca: Que imita a las de los cristianos. 2. adj. desus. cristiano.
cristianismo	Del lat. tardío christianismus, y este del gr. χριστιανισμός christianismós. 1. m. Conjunto de creencias y preceptos que constituyen la religión de Cristo. 2. m. Condición o carácter de cristiano. 3. m. Conjunto de los cristianos. 4. m. p. us. bautizo (‖ acción de bautizar).
cristianización	1. f. Acción y efecto de cristianizar.
cristianizar	 Del lat. tardío christianizāre, y este del gr. bizant. χριστιανίζειν christianízein. 1. tr. Conformar algo con el dogma o con el rito cristiano. U. t. c. prnl. 2. tr. Convertir al cristianismo a alguien. U. t. c. prnl.
cristiano	na  Del lat. christiānus, y este del gr. χριστιανός christianós. 1. adj. Perteneciente o relativo a la religión de Cristo. 2. adj. Que profesa la fe de Cristo. U. t. c. s. 3. adj. coloq. p. us. Dicho del vino: Que está aguado. 4. m. Hermano o prójimo. 5. m. coloq. Persona o ser humano. Por la calle no pasa un cristiano. cristiano, na nuevo, va 1. m. y f. Persona que se convertía a la religión cristiana y se bautizaba siendo adulta, por oposición a cristiano viejo. cristiano, na viejo, ja 1. m. y f. Persona que era descendiente de cristianos, sin mezcla conocida de moro, judío o gentil. en cristiano 1. loc. adv. coloq. En términos llanos y fácilmente comprensibles, o en la lengua que todos entienden. Habla en cristiano, que no te entiendo. 2. loc. adv. coloq. En castellano. democracia cristiana doctrina cristiana era cristiana griego cristiano latín cristiano moros y cristianos
cristianodemócrata	1. adj. democristiano. U. t. c. s.
cristianísimo	ma Del lat. mediev. Christianissimus, y este sup. del lat. christiānus 'cristiano'. 1. adj. Era u. para referirse a los reyes de Francia.
cristino	na  1. adj. Partidario de Isabel II, bajo la regencia de su madre María Cristina de Borbón, contra el pretendiente don Carlos. Apl. a pers., u. t. c. s.
cristo	Del lat. Christus, y este del gr. Χριστός Christós; propiamente 'ungido'. Escr. con may. inicial en acep. 1. 1. m. En la doctrina cristiana, el Hijo de Dios, hecho hombre. Jesús, el Cristo. 2. m. Imagen o representación del Cristo. 3. m. crucifijo. 4. m. coloq. Lío o alboroto. todo cristo 1. m. coloq. Todo cristiano, todas las personas, todo el mundo. un cristo 1. m. coloq. Persona que presenta un estado lastimoso. U. en construcciones comparativas. Estás hecho un cristo. Vino como un cristo. como a un cristo dos pistolas 1. loc. adv. coloq. Muy mal o de manera inadecuada o impropia. U. en sent. ponder. Ese vestido le sienta como a un cristo dos pistolas. Cristo con todos 1. expr. coloq. desus. Era u. para dar fin a un asunto o altercado. 2. expr. desus. Era u. como fórmula de salutación. donde Cristo dio las tres voces 1. loc. adv. coloq. En lugar muy distante o extraviado. ni Cristo que lo fundó 1. loc. adv. coloq. U. para negar rotundamente. ni por un cristo 1. loc. adv. coloq. desus. Denota la gran repugnancia que se tiene en condescender con algo, o la gran dificultad de conseguirlo. sacar el cristo 1. loc. verb. coloq. Acudir a algún medio de persuasión extremo y decisivo. voto a Cristo 1. loc. interj. desus. Era u. para expresar ira, juramento o amenaza. era de Cristo túnica de Cristo
cristobalense	1. adj. sancristobalense. Apl. a pers., u. t. c. s.
cristobita	De Cristobita, hipocorístico de Cristóbal. 1. m. Muñeco de guiñol.
cristofué	De Cristo fue, porque al cantar se interpreta que dice estas palabras. 1. m. Pájaro algo mayor que la alondra, de color entre amarillo y verde, que abunda mucho en los valles de Venezuela.
cristología	Del gr. Χριστός Christós 'Cristo' y -logía. 1. f. Tratado de lo referente a Cristo.
cristológico	ca 1. adj. Perteneciente o relativo a Cristo o a la cristología.
cristus	Del lat. Christus 'Cristo'. 1. m. abecedario (‖ serie de las letras de un idioma). 2. m. abecedario (‖ cartel o libro para enseñar a leer). 3. m. Cruz que precedía al abecedario o alfabeto en la cartilla. estar alguien en el cristus 1. loc. verb. Estar muy a los principios de un arte o ciencia. no saber alguien el cristus 1. loc. verb. Ser muy ignorante.
crisuela	Cf. crisuelo. 1. f. Cazoleta del candil, que está debajo de la candileja para recibir el aceite que cae.
crisuelo	De crisol. 1. m. desus. candil.
crisálida	Del lat. cient. chrysalida, y este del gr. χρυσαλλίς, -ίδος chrysallís, -ídos, der. de χρυσός chrysós 'oro', por su frecuente color dorado. 1. f. Zool. En los insectos con metamorfosis completa, estado quiescente previo al de adulto.
crisólito	Del lat. chrysolĭthus, y este del gr. χρυσόλιθος chrysólithos 'piedra de oro'. 1. m. Geol. Olivino o silicato natural de hierro y magnesio, de color verdoso, particularmente cuando tiene calidad de piedra preciosa. crisólito de los volcanes 1. m. Geol. Silicato de magnesia, de color aceitunado, que pasa al pardo rojo y hasta al negro. crisólito oriental 1. m. Geol. Silicato de alúmina, de color amarillo verdoso, que se cuenta entre las piedras preciosas.
criterio	Del lat. tardío criterĭum, y este del gr. κριτήριον kritḗrion, der. de κρίνειν krínein 'juzgar'. 1. m. Norma para conocer la verdad. 2. m. Juicio o discernimiento.
criteriología	1. f. Fil. Parte de la lógica que estudia los criterios de verdad.
criteriológico	ca 1. adj. Fil. Perteneciente o relativo a la criteriología.
criterioso	sa De criterio y -oso^2. 1. adj. Arg., Chile, Par. y Ur. Dicho de una persona: Que demuestra sensatez y buen juicio al hablar o actuar.
criticable	1. adj. Que se puede criticar.
criticador	ra De criticar y -dor. 1. adj. p. us. Inclinado a la crítica o censura, o que la practica. Apl. a pers., u. t. c. s.
criticar	 De crítica. 1. tr. Analizar pormenorizadamente algo y valorarlo según los criterios propios de la materia de que se trate. 2. tr. Hablar mal de alguien o de algo, o señalar un defecto o una tacha suyos. Lo critican por sus declaraciones. Le critican su ropa. U. t. c. intr.
criticastro	tra 1. m. y f. despect. Crítico malo o falto de ecuanimidad.
criticidad	1. f. Condición de crítico.
criticismo	Del al. Kritizismus, y este del ingl. criticism, de critic 'crítico' e -ism '-ismo'. 1. m. Fil. Sistema filosófico de Immanuel Kant. 2. m. Fil. Teoría metodológica que somete a crítica la posibilidad del conocimiento, sus límites y sus fuentes.
criticón	na De crítico y -ón^1. 1. adj. coloq. Muy dado a la crítica y censura. Apl. a pers., u. t. c. s.
critiqueo	1. m. coloq. Acción de criticar (‖ hablar mal).
critiquizar	 De crítica e -izar. 1. tr. coloq. p. us. Criticar abusivamente.
critérium	Del fr. critérium, y este del lat. tardío criterium 'juicio'. 1. m. Dep. Competición que no tiene carácter oficial, en la que intervienen deportistas de gran categoría.
crizneja	De un der. del lat. crinis 'cabellera'. 1. f. Trenza de cabellos. 2. f. Soga o pleita.
croajar	 De croar. 1. intr. p. us. crascitar.
croar	 Voz onomat. 1. intr. Dicho de una rana: Cantar o emitir su voz característica.
croata	1. adj. Natural de Croacia, país de Europa. U. t. c. s. 2. adj. Perteneciente o relativo a Croacia o a los croatas. 3. adj. Perteneciente o relativo al croata (‖ lengua). Léxico croata. 4. m. Lengua eslava meridional, muy similar al serbio, que se habla en Croacia y Bosnia-Herzegovina.
crocante	Del fr. croquant. 1. adj. Dicho de una pasta cocida o frita: Que cruje al mascarla. 2. m. guirlache.
crocanti	Del it. croccanti, pl. de croccante 'crujiente'. 1. m. Helado cubierto de una capa de chocolate y trozos pequeños de almendra.
crochel	Del fr. clocher. 1. m. desus. Torre de un edificio.
croché	Del fr. crochet. 1. m. ganchillo. 2. m. Cierto golpe del boxeo.
crocino	na Del lat. crocĭnus, infl. en su acentuación por los numerosos adjs. en -ino, y este del gr. κρόκινος krókinos. 1. adj. De croco o azafrán.
crocitar	 Del lat. crocitāre, frec. de crocīre 'croajar'. 1. intr. crascitar.
croco	Del lat. crocus, y este del gr. κρόκος krókos. 1. m. azafrán (‖ planta). 2. m. azafrán (‖ estigma de la flor del azafrán).
crocodilo	1. m. p. us. cocodrilo.
crol	Del ingl. crawl. 1. m. Dep. Estilo de natación que consiste en batir constantemente las piernas y en mover alternativamente los brazos hacia delante sacándolos del agua.
crolista	1. m. y f. Dep. Nadador especializado en el estilo crol.
cromado	 1. m. Acción y efecto de cromar.
cromar	 1. tr. Dar un baño de cromo a los objetos metálicos para hacerlos inoxidables.
cromatina	Del al. Chromatin, y este del gr. χρῶμα, -ατος chrôma, -atos 'color', por su afinidad por ciertos colorantes, e -in '-ina'. 1. f. Biol. Sustancia constituida esencialmente por ADN y proteínas, que se encuentra en el núcleo de las células eucariontes.
cromatismo	Del gr. χρωματισμός chrōmatismós, de χρωματίζειν chrōmatízein 'colorar'. 1. m. Conjunto o gama de colores. 2. m. Mús. Cualidad de cromático. 3. m. Ópt. aberración cromática.
cromatografía	Del gr. χρῶμα, -ατος chrôma, -atos 'color' y -grafía. 1. f. Quím. Método de análisis químico para la separación de los componentes de una mezcla por distribución entre dos fases, una estacionaria y otra móvil. 2. f. Quím. Análisis químico realizado mediante cromatografía.
cromatógrafo	1. m. Quím. Aparato que sirve para realizar cromatografías.
cromañón	na Del fr. [homme de] Cro-Magnon '[hombre de] Cro-Magnon', por el nombre de la cueva francesa donde se encontraron los primeros restos de este grupo humano. 1. adj. Antrop. Dicho de un individuo: Del primer grupo de humanos modernos, que apareció en Europa en el Paleolítico superior coincidiendo con el declive de los neandertales. U. m. c. s. 2. adj. Antrop. Perteneciente o relativo a los cromañones. Fósiles cromañones. hombre de Cromañón
cromo-	Del gr. χρῶμα chrôma. 1. elem. compos. Significa 'color'. Cromosfera, cromolitógrafo.
cromo^1	 Del fr. chrome, y este del gr. χρῶμα chrôma 'color', por alus. a los variados colores de sus sales. 1. m. Elemento químico metálico, de núm. atóm. 24, de color blanco plateado, brillante, duro y quebradizo, escaso en la corteza terrestre, donde se encuentra generalmente en forma de óxido, que se emplea como protector de otros metales por su resistencia a la corrosión, y cuyas sales, de variados colores, se usan como mordientes. (Símb. Cr).
cromo^2	 Acort. de cromolitografía. 1. m. Estampa, papel o tarjeta con figuras en colores, especialmente la de pequeño tamaño destinada a juegos y colecciones propios de niños. 2. m. despect. Dibujo o pintura de colores chillones y escasa calidad. estar hecho, cha un cromo 1. loc. verb. Ir muy arreglado y compuesto. U. m. en sent. irón.
cromolitografiar	 Conjug. c. enviar. 1. tr. Imprimir mediante cromolitografía.
cromolitografía	 De cromo- y litografía. 1. f. Arte de litografiar con varios colores, los cuales se obtienen por impresiones sucesivas. 2. f. Estampa obtenida por medio de la cromolitografía.
cromolitográfico	ca 1. adj. Perteneciente o relativo a la cromolitografía.
cromolitógrafo	fa 1. m. y f. Persona que ejerce el arte de la cromolitografía.
cromosfera	Tb. cromósfera, Am. De cromo- y esfera. 1. f. Astron. Zona superior de la envoltura gaseosa del Sol, de color rojo y constituida principalmente por hidrógeno inflamado.
cromosoma	De cromo- y el gr. σῶμα sôma 'cuerpo'. 1. m. Biol. Filamento condensado de ácido desoxirribonucleico, visible en el núcleo de las células durante la mitosis y cuyo número es constante para las células de cada especie animal o vegetal.
cromosómico	ca 1. adj. Biol. Perteneciente o relativo al cromosoma.
cromotipia	De cromo- y el gr. -τυπία -typía, y este der. de τύπος týpos 'molde'. 1. f. Impresión en colores. 2. f. Lámina obtenida por cromotipia.
cromotipografía	De cromo- y tipografía. 1. f. Arte de imprimir en colores. 2. f. Obra hecha por el procedimiento de la cromotipografía.
cromotipográfico	ca 1. adj. Perteneciente o relativo a la cromotipografía.
cromático	ca Del lat. chromatĭcus, y este del gr. χρωματικός chrōmatikós. 1. adj. Perteneciente o relativo a los colores. 2. adj. Mús. Dicho de una escala o un sistema musical: Que procede por intervalos de semitonos. 3. adj. Ópt. Dicho de un cristal o de un instrumento óptico: Que presenta al ojo del observador los objetos contorneados con los visos y colores del arco iris. aberración cromática semitono cromático
cromátida	Del ingl. chromatid, y este de chromatin 'cromatina' e -id '‒́ido^1'. 1. f. Biol. Cada una de las dos hebras hermanas de un cromosoma en división, que darán lugar a un cromosoma completo en cada célula hija.
cromóforo	ra De cromo- y ‒́foro. 1. adj. Quím. Dicho de un agrupamiento químico: Que causa la coloración de una sustancia. U. t. c. s. m.
cromógeno	na De cromo- y ‒́geno. 1. adj. Biol. Dicho de una bacteria: Que produce materias colorantes u origina coloraciones.
cron	Acort. del gr. χρόνος chrónos 'tiempo'. 1. m. Geol. Unidad de tiempo geológico utilizada en estratigrafía.
cronicidad	1. f. Cualidad de crónico.
cronicismo	De crónico e -ismo. 1. m. Med. Larga duración de una dolencia. 2. m. Med. Estado crónico de un enfermo.
cronicón	De crónica. 1. m. Breve narración histórica expuesta en orden cronológico.
cronificación	1. f. Acción y efecto de cronificar.
cronificar	 1. tr. Hacer crónico algo, especialmente una enfermedad. U. t. c. prnl. Se le ha cronificado la tos.
cronista	1. m. y f. Autor de crónicas. 2. m. y f. Historiador oficial de una institución.
crono	 Acort. 1. m. Dep. cronómetro. 2. m. Dep. En pruebas de velocidad, tiempo medido con cronómetro.
crono-	Del gr. χρονο- chrono-. 1. elem. compos. Significa 'tiempo'. Cronómetro, cronología.
cronobiología	De crono- y biología. 1. f. Biol. Estudio de los ritmos biológicos.
cronoescalada	De crono- y escalada. 1. f. En competiciones ciclistas, prueba contra reloj que se disputa en un trayecto ascendente.
cronografía	Del lat. tardío chronographĭa, y este del gr. χρονογραφία chronographía. 1. f. Descripción cronológica de una serie de personajes o sucesos.
cronograma	De crono- y -grama. 1. m. Calendario de trabajo.
cronográfico	ca 1. adj. Perteneciente o relativo a la cronografía.
cronologista	1. m. y f. cronólogo.
cronología	Del gr. χρονολογία chronología. 1. f. Ciencia que tiene por objeto determinar el orden y fechas de los sucesos históricos. 2. f. Serie de personajes o sucesos históricos por orden de fechas. 3. f. Biol. Cómputo o registro de los tiempos en una serie de sucesos o procesos.
cronológicamente	1. adv. Por orden cronológico.
cronológico	ca Del gr. χρονολογικός chronologikós. 1. adj. Perteneciente o relativo a la cronología.
cronometrador	ra 1. m. y f. Persona que cronometra.
cronometraje	1. m. Acción y efecto de cronometrar.
cronometrar	 1. tr. Medir con el cronómetro el tiempo de algo.
cronometría	De crono- y -metría. 1. f. Medida exacta del tiempo.
cronométrico	ca 1. adj. Perteneciente o relativo a la cronometría o al cronómetro.
cronístico	ca 1. adj. Perteneciente o relativo a la crónica o al cronista.
cronógrafo	fa Del lat. tardío chronogrăphus, y este del gr. χρονογράφος chronográphos. 1. m. y f. Autor de cronografías. 2. m. Aparato que sirve para registrar gráficamente el tiempo que transcurre entre sucesos consecutivos. 3. m. Reloj o aparato que sirve para medir con exactitud tiempos sumamente pequeños.
cronólogo	ga Del gr. χρονολόγος chronológos. 1. m. y f. Especialista en cronología.
cronómetro	De crono- y ‒́metro. 1. m. Reloj de gran precisión para medir fracciones de tiempo muy pequeñas, utilizado en industria y en competiciones deportivas.
croque	Voz onomat. 1. m. bichero. 2. m. Golpe que se da en la cabeza o con ella.
croquero	1. m. Pescador que emplea el croque.
croqueta	Del fr. croquette. 1. f. Porción de masa, generalmente redonda u ovalada, hecha con un picadillo de jamón, carne, pescado, huevo u otros ingredientes, que, ligado con besamel, se reboza en huevo y pan rallado y se fríe en aceite abundante.
croquis	Del fr. croquis. 1. m. Diseño ligero de un terreno, paisaje o posición militar, que se hace a ojo y sin valerse de instrumentos geométricos. 2. m. Dibujo o esbozo rápido y esquemático.
croscitar	 De crocitar. 1. intr. crascitar.
cross	Voz fr., y esta del ingl. cross-country. 1. m. Dep. Carrera de larga distancia a campo traviesa.
crotal	Del lat. crotal, sing. de crotalĭa 'pendientes de varias perlas', y este del gr. κροτάλια krotália. 1. m. Placa para la identificación y control de animales formada por dos piezas que se acoplan y se colocan en algún lugar visible de su cuerpo.
croto	1. m. Cuba y R. Dom. ricino.
crotoniata	Del lat. Crotoniāta. 1. adj. Natural de Crotona, antigua ciudad de Italia. U. t. c. s. 2. adj. Perteneciente o relativo a Crotona o a los crotoniatas.
crotorar	 Del lat. crotolāre. 1. intr. Dicho de una cigüeña: Producir el ruido peculiar de su pico.
crotoreo	1. m. Acción y efecto de crotorar.
crotón	Del gr. κρότων krótōn 'ricino'. 1. m. ricino.
croza	Del fr. crosse. 1. f. desus. Báculo pastoral o episcopal.
cruasán	Del fr. croissant 'medialuna'. 1. m. Bollo de hojaldre en forma de media luna.
cruce	 1. m. Acción de cruzar (‖ atravesar una cosa sobre otra). 2. m. Punto donde se cortan mutuamente dos líneas. El cruce de dos caminos. 3. m. Paso destinado a los peatones. 4. m. Acción y efecto de cruzar (‖ animales para mejorar las castas). 5. m. Interferencia telefónica o de emisiones radiadas. 6. m. Gram. Acción y efecto de cruzarse (‖ dos palabras o formas gramaticales). luz de cruce
cruceiro	Del port. cruzeiro, y este de Cruzeiro [do Sul] 'Cruz [del Sur]', constelación que es símbolo de Brasil. 1. m. Unidad monetaria de Brasil hasta la implantación del real en 1994.
crucera	De cruz. 1. f. Nacimiento de las agujas de las caballerías. 2. f. Arg. y Ur. Cada una de las dos especies de ofidios venenosos de aspecto muy similar, de hasta un metro y medio de longitud y de color castaño claro con dibujos de tonos más oscuros, que se alimentan de anfibios, aves, huevos y pequeños roedores.
crucerista	1. adj. Perteneciente o relativo al crucero (‖ viaje de recreo). 2. m. y f. Persona que realiza un crucero (‖ viaje de recreo).
crucero	De cruz. 1. m. encrucijada (‖ lugar donde se cruzan calles o caminos). 2. m. Cruz de piedra que se coloca en los cruces de caminos o en los atrios. 3. m. Espacio en que se cruzan la nave mayor de una iglesia y la que la atraviesa. 4. m. Encargado de llevar la cruz delante de los arzobispos en las procesiones y otras funciones sagradas. 5. m. Sacristán encargado de llevar la cruz en entierros y procesiones. 6. m. Viaje de recreo en barco, con distintas escalas. 7. m. Buque o conjunto de buques destinados a cruzar (‖ navegar en todas direcciones). 8. m. Buque de guerra de gran velocidad y radio de acción, compatibles con fuerte armamento. Crucero ligero, protegido, acorazado, de combate. 9. m. Arq. arco crucero. 10. m. Carp. vigueta (‖ madero). 11. m. Geol. Dirección de los planos paralelos, por donde los minerales y las rocas suelen tener división más fácil. 12. m. Impr. Línea por donde se ha doblado el pliego de papel al ponerlo en resmas. 13. m. Impr. Listón de hierro que en la imposición sirve para dividir la forma en dos partes. 14. m. Mar. Determinada extensión de mar en que cruzan uno o más buques. 15. m. Mar. Maniobra o acto de cruzar. misil de crucero velocidad de crucero
crucería	De crucero. 1. f. Arq. Conjunto de nervios que refuerzan y ornamentan las intersecciones de las bóvedas, típico del estilo gótico.
cruceta	1. f. Cada una de las cruces o de las aspas que resultan de la intersección de dos series de líneas paralelas, especialmente en enrejados o en labores y adornos femeninos. 2. f. Mar. Meseta que en la cabeza de los masteleros sirve para los mismos fines que la cofa en los palos mayores, de la cual se diferencia en ser más pequeña y no estar entablada. 3. f. Mec. En las transmisiones de los automóviles y otras máquinas, pieza que sirve de articulación entre dos ejes no alineados.
cruceño	ña 1. adj. Natural de alguno de los pueblos que, tanto en España como en América, llevan el nombre de Cruz o de Cruces. U. t. c. s. 2. adj. Perteneciente o relativo a alguno de los pueblos que llevan el nombre de Cruz o de Cruces, o a los cruceños. 3. adj. Natural de Santa Cruz de la Sierra, ciudad o departamento de Bolivia. U. t. c. s. 4. adj. Perteneciente o relativo a Santa Cruz de la Sierra o a los cruceños.
crucial	Del ingl. crucial, y este del fr. crucial, der. del lat. crux, crucis 'cruz'. 1. adj. Dicho de una situación o de un momento: Crítico, decisivo. 2. adj. En forma de cruz. Incisión crucial.
cruciata	De cruz. 1. f. Especie de genciana con flores azules y hojas dispuestas en cruz.
cruciferario	De crucífero. 1. m. crucero (‖ encargado de llevar la cruz delante de los arzobispos).
crucificado	da  Del part. de crucificar. 1. adj. Dicho de una persona: Fijada o clavada en una cruz. U. t. c. s.
crucificar	 Del lat. tardío crucificāre, y este del lat. crucifigĕre. 1. tr. Fijar o clavar en una cruz a alguien. 2. tr. Causar un sufrimiento físico o moral a alguien. 3. tr. Criticar con dureza a alguien o algo.
crucifijo	Del lat. mediev. crucifixum, y este del lat. crucifixus 'crucificado'. 1. m. Efigie o imagen de Cristo crucificado.
crucifixión	Del lat. tardío crucifixio, -ōnis. 1. f. Acción y efecto de crucificar. 2. f. Esc. y Pint. Composición que representa la crucifixión de Jesucristo.
crucifixor	Del lat. tardío crucifixor, -ōris. 1. m. Hombre que crucifica.
cruciforme	Del lat. crux, crucis 'cruz' y -forme. 1. adj. De forma de cruz.
crucigrama	Del lat. crux, crucis 'cruz' y -grama. 1. m. Pasatiempo que consiste en llenar con letras las casillas de una cuadrícula de modo que formen, en sentido horizontal y vertical, las palabras determinadas por unas definiciones dadas. 2. m. Cuadrícula cuyas casillas deben rellenarse al resolver un crucigrama.
crucigramista	1. adj. Perteneciente o relativo a los crucigramas. Afición crucigramista. 2. m. y f. Persona que inventa crucigramas o que los resuelve.
crucillo	De cruz. 1. m. p. us. Variedad del juego de los alfileres que se practica impulsando con la uña un alfiler hasta cruzarlo con otro.
crucífero	ra Del lat. tardío crucĭfer, -ĕri 'el que lleva una cruz'. 1. adj. poét. Que lleva o tiene la insignia de la cruz. 2. adj. Integrante de la extinguida Orden de Santa Cruz. U. t. c. s. 3. adj. Bot. Dicho de una planta: Del grupo de las angiospermas dicotiledóneas, que tiene hojas alternas, cuatro sépalos en dos filas, corola cruciforme, estambres de glándulas verdosas en su base y semillas sin albumen; p. ej., el alhelí, el berro, la col, el nabo o la mostaza. U. t. c. s. f., en pl. como taxón. 4. m. crucero (‖ encargado de llevar la cruz delante de los arzobispos).
crucígero	ra Del lat. crux, crucis 'cruz' y gerĕre 'llevar'. 1. adj. poét. crucífero (‖ que lleva la insignia de la cruz).
cruda	 V. crudo.
crudamente	1. adv. Con crudeza o rigor.
crudelísimo	ma Del lat. crudelissĭmus. 1. adj. sup. cult. de cruel.
crudeza	De crudo. 1. f. Cualidad o estado de algunas cosas que no tienen la suavidad o sazón necesarias. 2. f. Rigor o aspereza. 3. f. coloq. p. us. Valentía y guapeza afectadas. 4. f. pl. Alimentos que se detienen en el estómago por no estar bien digeridos.
crudillo	1. m. Tela áspera y dura, semejante al lienzo crudo, usada para entretelas y bolsillos.
crudo	da  Del lat. crudus. 1. adj. Dicho de un alimento: Que no ha sido preparado por medio de la acción del fuego, o que no lo está hasta el punto conveniente. 2. adj. Dicho de la fruta: Que no está en sazón. 3. adj. Dicho de un alimento: De difícil digestión. 4. adj. Dicho de algunas cosas, como la seda, el lienzo, el cuero, etc.: Que no están preparadas o curadas. 5. adj. Dicho de un proceso, de un negocio, etc.: Que no está suficientemente elaborado. 6. adj. Dicho de un color: Blanco algo amarillento, semejante al de la seda cruda o al de la lana sin blanquear. U. t. c. s. m. 7. adj. De color crudo. 8. adj. Dicho del petróleo: Que no está refinado. U. t. c. s. m. 9. adj. Cruel, áspero, despiadado. 10. adj. Dicho del tiempo: Muy frío y destemplado. 11. adj. coloq. Dicho de una persona: Que afecta guapeza y valentía. 12. adj. Ling. Dicho de un extranjerismo: Que no ha sido sometido a adaptación formal. 13. adj. Med. desus. Dicho de un tumor o una apostema: Que no da señales de supurar. 14. adj. Cuba. verde (‖ inexperto y poco preparado). 15. adj. Méx. Dicho de una persona: Que tiene resaca al día siguiente de una borrachera. 16. f. Guat., Hond. y Méx. resaca (‖ malestar por haber bebido en exceso). en crudo 1. loc. adv. Crudamente, sin miramientos. agua cruda punto crudo seda cruda tiempo crudo
crudío	a De crudo. 1. adj. desus. Bronco o áspero, no curado o no preparado.
